time,r_LVLH_C_x,r_LVLH_C_y,r_LVLH_C_z,roll,pitch,yaw
44.39,0.7588021488649292,-0.01305285388690417,0.0,29.999999999999996,20.0,10.0
44.4,0.7586360245428574,-0.013047420221755222,0.0,29.999999999999996,20.0,10.0
44.410000000000004,0.7584699006351128,-0.013041982797548746,0.0,29.999999999999996,20.0,10.0
44.42,0.7583037771417166,-0.013036541614294116,0.0,29.999999999999996,20.0,10.0
44.43,0.7581376540626903,-0.013031096672000714,0.0,29.999999999999996,20.0,10.0
44.44,0.7579715313980552,-0.013025647970677907,0.0,29.999999999999996,20.0,10.0
44.45,0.7578054091478323,-0.013020195510335076,0.0,29.999999999999996,20.0,10.0
44.46,0.7576392873120431,-0.0130147392909816,0.0,29.999999999999996,20.0,10.0
44.47,0.7574731658907089,-0.013009279312626857,0.0,29.999999999999996,20.0,10.0
44.480000000000004,0.7573070448838506,-0.013003815575280218,0.0,29.999999999999996,20.0,10.0
44.49,0.7571409242914898,-0.01299834807895107,0.0,29.999999999999996,20.0,10.0
44.5,0.7569748041136479,-0.01299287682364879,0.0,29.999999999999996,20.0,10.0
44.51,0.7568086843503459,-0.012987401809382754,0.0,29.999999999999996,20.0,10.0
44.52,0.7566425650016048,-0.012981923036162345,0.0,29.999999999999996,20.0,10.0
44.53,0.7564764460674465,-0.012976440503996944,0.0,29.999999999999996,20.0,10.0
44.54,0.7563103275478917,-0.01297095421289593,0.0,29.999999999999996,20.0,10.0
44.550000000000004,0.756144209442962,-0.012965464162868682,0.0,29.999999999999996,20.0,10.0
44.56,0.7559780917526785,-0.012959970353924589,0.0,29.999999999999996,20.0,10.0
44.57,0.7558119744770626,-0.01295447278607303,0.0,29.999999999999996,20.0,10.0
44.58,0.7556458576161355,-0.012948971459323387,0.0,29.999999999999996,20.0,10.0
44.59,0.7554797411699183,-0.01294346637368504,0.0,29.999999999999996,20.0,10.0
44.6,0.7553136251384326,-0.012937957529167383,0.0,29.999999999999996,20.0,10.0
44.61,0.7551475095216994,-0.012932444925779793,0.0,29.999999999999996,20.0,10.0
44.62,0.7549813943197401,-0.012926928563531656,0.0,29.999999999999996,20.0,10.0
44.63,0.7548152795325757,-0.012921408442432353,0.0,29.999999999999996,20.0,10.0
44.64,0.7546491651602276,-0.01291588456249128,0.0,29.999999999999996,20.0,10.0
44.65,0.7544830512027175,-0.012910356923717817,0.0,29.999999999999996,20.0,10.0
44.660000000000004,0.7543169376600659,-0.012904825526121346,0.0,29.999999999999996,20.0,10.0
44.67,0.7541508245322948,-0.012899290369711268,0.0,29.999999999999996,20.0,10.0
44.68,0.753984711819425,-0.012893751454496958,0.0,29.999999999999996,20.0,10.0
44.69,0.7538185995214778,-0.01288820878048781,0.0,29.999999999999996,20.0,10.0
44.7,0.7536524876384745,-0.012882662347693207,0.0,29.999999999999996,20.0,10.0
44.71,0.7534863761704365,-0.012877112156122547,0.0,29.999999999999996,20.0,10.0
44.72,0.7533202651173849,-0.012871558205785215,0.0,29.999999999999996,20.0,10.0
44.730000000000004,0.753154154479341,-0.012866000496690596,0.0,29.999999999999996,20.0,10.0
44.74,0.7529880442563262,-0.012860439028848092,0.0,29.999999999999996,20.0,10.0
44.75,0.7528219344483617,-0.012854873802267087,0.0,29.999999999999996,20.0,10.0
44.76,0.7526558250554686,-0.012849304816956973,0.0,29.999999999999996,20.0,10.0
44.77,0.7524897160776682,-0.01284373207292714,0.0,29.999999999999996,20.0,10.0
44.78,0.7523236075149817,-0.012838155570186987,0.0,29.999999999999996,20.0,10.0
44.79,0.7521574993674309,-0.012832575308745904,0.0,29.999999999999996,20.0,10.0
44.800000000000004,0.7519913916350363,-0.012826991288613279,0.0,29.999999999999996,20.0,10.0
44.81,0.7518252843178198,-0.012821403509798514,0.0,29.999999999999996,20.0,10.0
44.82,0.7516591774158021,-0.012815811972311,0.0,29.999999999999996,20.0,10.0
44.83,0.7514930709290051,-0.012810216676160134,0.0,29.999999999999996,20.0,10.0
44.84,0.7513269648574493,-0.012804617621355305,0.0,29.999999999999996,20.0,10.0
44.85,0.7511608592011567,-0.012799014807905917,0.0,29.999999999999996,20.0,10.0
44.86,0.7509947539601481,-0.012793408235821365,0.0,29.999999999999996,20.0,10.0
44.87,0.7508286491344449,-0.012787797905111042,0.0,29.999999999999996,20.0,10.0
44.88,0.7506625447240682,-0.012782183815784344,0.0,29.999999999999996,20.0,10.0
44.89,0.7504964407290395,-0.012776565967850676,0.0,29.999999999999996,20.0,10.0
44.9,0.7503303371493802,-0.012770944361319432,0.0,29.999999999999996,20.0,10.0
44.910000000000004,0.7501642339851111,-0.012765318996200006,0.0,29.999999999999996,20.0,10.0
44.92,0.7499981312362538,-0.012759689872501808,0.0,29.999999999999996,20.0,10.0
44.93,0.7498320289028293,-0.012754056990234233,0.0,29.999999999999996,20.0,10.0
44.94,0.7496659269848593,-0.012748420349406677,0.0,29.999999999999996,20.0,10.0
44.95,0.7494998254823645,-0.012742779950028545,0.0,29.999999999999996,20.0,10.0
44.96,0.7493337243953666,-0.012737135792109241,0.0,29.999999999999996,20.0,10.0
44.97,0.7491676237238867,-0.01273148787565816,0.0,29.999999999999996,20.0,10.0
44.980000000000004,0.7490015234679459,-0.012725836200684704,0.0,29.999999999999996,20.0,10.0
44.99,0.7488354236275658,-0.012720180767198283,0.0,29.999999999999996,20.0,10.0
45.0,0.7486693242027674,-0.012714521575208297,0.0,29.999999999999996,20.0,10.0
45.01,0.7485032251935719,-0.012708858624724147,0.0,29.999999999999996,20.0,10.0
45.02,0.748337126600001,-0.012703191915755238,0.0,29.999999999999996,20.0,10.0
45.03,0.7481710284220755,-0.012697521448310978,0.0,29.999999999999996,20.0,10.0
45.04,0.7480049306598169,-0.01269184722240077,0.0,29.999999999999996,20.0,10.0
45.050000000000004,0.7478388333132463,-0.012686169238034015,0.0,29.999999999999996,20.0,10.0
45.06,0.7476727363823852,-0.012680487495220124,0.0,29.999999999999996,20.0,10.0
45.07,0.7475066398672547,-0.012674801993968506,0.0,29.999999999999996,20.0,10.0
45.08,0.747340543767876,-0.012669112734288564,0.0,29.999999999999996,20.0,10.0
45.09,0.7471744480842701,-0.012663419716189702,0.0,29.999999999999996,20.0,10.0
45.1,0.747008352816459,-0.012657722939681336,0.0,29.999999999999996,20.0,10.0
45.11,0.7468422579644636,-0.012652022404772869,0.0,29.999999999999996,20.0,10.0
45.12,0.746676163528305,-0.012646318111473712,0.0,29.999999999999996,20.0,10.0
45.13,0.7465100695080045,-0.012640610059793273,0.0,29.999999999999996,20.0,10.0
45.14,0.7463439759035834,-0.01263489824974096,0.0,29.999999999999996,20.0,10.0
45.15,0.746177882715063,-0.012629182681326193,0.0,29.999999999999996,20.0,10.0
45.160000000000004,0.7460117899424645,-0.012623463354558365,0.0,29.999999999999996,20.0,10.0
45.17,0.7458456975858094,-0.012617740269446906,0.0,29.999999999999996,20.0,10.0
45.18,0.7456796056451186,-0.012612013426001219,0.0,29.999999999999996,20.0,10.0
45.19,0.7455135141204137,-0.012606282824230717,0.0,29.999999999999996,20.0,10.0
45.2,0.7453474230117156,-0.012600548464144809,0.0,29.999999999999996,20.0,10.0
45.21,0.7451813323190458,-0.012594810345752917,0.0,29.999999999999996,20.0,10.0
45.22,0.7450152420424256,-0.01258906846906445,0.0,29.999999999999996,20.0,10.0
45.230000000000004,0.7448491521818761,-0.012583322834088816,0.0,29.999999999999996,20.0,10.0
45.24,0.7446830627374188,-0.012577573440835441,0.0,29.999999999999996,20.0,10.0
45.25,0.7445169737090744,-0.012571820289313734,0.0,29.999999999999996,20.0,10.0
